X	Y	LABEL	ARTISTA	DISCO	RYM	COVERPATH	PROGRESSIVO
24	4	1974	Nuova Compagnia di Canto Popolare	Li sarracini adorano lu sole	100	sole.jpg	106
25	4	1974	Delirium	III - Viaggio negli Arcipelaghi del Tempo	100	tempo.jpg	107
34	2	1977	Edoardo Bennato	Burattino senza fili	100	burattino.jpg	108
26	4	1974 Live	Giorgio Gaber	Anche per oggi non si vola	100	anche.jpg	109
37	2	1978	Goblin	Zombi	100	zombi.jpg	110
30	3	October 1976	Banco del Mutuo Soccorso	Come in un'ultima cena	100	cena.jpg	111
38	2	1978	Area	1978 gli dei se ne vanno, gli arrabbiati restano!	100	dei.jpg	112
14	1	1970	Circus 2000	Circus 2000	100	circus.jpg	113
18	6	1972	Il Paese dei balocchi	Il Paese dei Balocchi	100	paese.jpg	114
9	1	1969	Piero Umiliani	La morte bussa due volte	100	morte.jpg	115
17	1	1971	Osanna	L'uomo	100	uomo.jpg	116
28	3	May 1975	Fabrizio De André	Vol. 8	100	otto.jpg	117
19	6	1972	Reale Accademia di Musica	Reale Accademia di Musica	100	reale.jpg	118
24	5	1974	Sensations' Fix	Fragments of Light	100	fragments.jpg	119
25	5	1974	Pierrot Lunaire	Pierrot Lunaire	100	pierrot.jpg	120
36	3	1978	Bella Band	Bella Band	100	bella.jpg	121
31	3	1976	Angelo Branduardi	Alla fiera dell'est	100	fiera.jpg	122
23	6	October 1973	Garybaldi	Astrolabio	100	astrolabio.jpg	123
35	2	1977	Enzo Carella	Vocazione	100	vocazione.jpg	124
26	5	1974	Opus Avantra & Donella Del Monaco	Opus Avantra	100	opus.jpg	125
20	6	1972	Egisto Macchi	Città notte	100	citta.jpg	126
3	0	May 1967	Fabrizio De André	Vol. 1°	100	uno.jpg	127
32	3	1976	Luciano Basso	Voci	100	voci.jpg	128
21	7	18 April 1973	Pholas Dactylus	Concerto delle menti	100	concerto.jpg	129
22	7	1973	L' Uovo di Colombo	L'Uovo di Colombo	100	uovo.jpg	130
29	3	1975	Cherry Five	Cherry Five	100	cherry.jpg	131
37	3	1978	Mauro Pagani	Mauro Pagani	100	mauro.jpg	132
39	2	1979	Ivan Graziani	Agnese dolce Agnese	100	agnese.jpg	133
15	2	November 1971	I Giganti	Terra in bocca (Poesia di un delitto)	100	terra.jpg	134
27	4	1975	Franco Falsini	Cold Nose (Naso freddo)	100	cold.jpg	135
